region,date,price
Гродненская,2020-06-01,1.01
г. Минск,2020-06-01,1.85
Минская,2020-06-01,1.07
Могилевская,2020-06-01,1.03
Беларусь,2020-07-01,1.22
Брестская,2020-07-01,1.14
Витебская,2020-07-01,1.12
Гомельская,2020-07-01,1.15
Гродненская,2020-07-01,1.12
г. Минск,2020-07-01,1.38
Минская,2020-07-01,1.31
Могилевская,2020-07-01,1.06
Беларусь,2020-08-01,0.82
Брестская,2020-08-01,0.82
Витебская,2020-08-01,0.8
Гомельская,2020-08-01,0.8
Гродненская,2020-08-01,0.79
г. Минск,2020-08-01,0.88
Минская,2020-08-01,0.81
Могилевская,2020-08-01,0.75
Беларусь,2020-09-01,0.72
Брестская,2020-09-01,0.73
Витебская,2020-09-01,0.67
Гомельская,2020-09-01,0.65
Гродненская,2020-09-01,0.67
г. Минск,2020-09-01,0.78
Минская,2020-09-01,0.69
Могилевская,2020-09-01,0.78
Беларусь,2020-10-01,0.74
Брестская,2020-10-01,0.73
Витебская,2020-10-01,0.72
Гомельская,2020-10-01,0.65
Гродненская,2020-10-01,0.68
г. Минск,2020-10-01,0.82
Минская,2020-10-01,0.72
Могилевская,2020-10-01,0.73
Беларусь,2020-11-01,0.76
Брестская,2020-11-01,0.76
Витебская,2020-11-01,0.76
Гомельская,2020-11-01,0.68
Гродненская,2020-11-01,0.68
г. Минск,2020-11-01,0.85
Минская,2020-11-01,0.74
Могилевская,2020-11-01,0.75
Беларусь,2020-12-01,0.82
Брестская,2020-12-01,0.77
Витебская,2020-12-01,0.78
Гомельская,2020-12-01,0.73
Гродненская,2020-12-01,0.71
г. Минск,2020-12-01,1.0
Минская,2020-12-01,0.78
Могилевская,2020-12-01,0.79
Беларусь,2021-01-01,0.89
Брестская,2021-01-01,0.86
Витебская,2021-01-01,0.82
Гомельская,2021-01-01,0.81
Гродненская,2021-01-01,0.76
г. Минск,2021-01-01,1.04
Минская,2021-01-01,0.88
Могилевская,2021-01-01,0.85
Беларусь,2021-02-01,1.0
Брестская,2021-02-01,0.97
Витебская,2021-02-01,0.92
Гомельская,2021-02-01,0.95
Гродненская,2021-02-01,0.83
г. Минск,2021-02-01,1.17
Минская,2021-02-01,0.97
Могилевская,2021-02-01,0.91
Беларусь,2021-03-01,1.05
Брестская,2021-03-01,0.99
Витебская,2021-03-01,1.0
Гомельская,2021-03-01,1.0
Гродненская,2021-03-01,0.88
г. Минск,2021-03-01,1.25
Минская,2021-03-01,1.02
Могилевская,2021-03-01,0.96
Беларусь,2021-04-01,1.12
Брестская,2021-04-01,1.04
Витебская,2021-04-01,1.03
Гомельская,2021-04-01,1.06
Гродненская,2021-04-01,0.98
г. Минск,2021-04-01,1.33
Минская,2021-04-01,1.11
Могилевская,2021-04-01,1.04
Беларусь,2021-05-01,1.26
Брестская,2021-05-01,1.16
Витебская,2021-05-01,1.2
Гомельская,2021-05-01,1.26
Гродненская,2021-05-01,1.06
г. Минск,2021-05-01,1.39
Минская,2021-05-01,1.32
Могилевская,2021-05-01,1.18
Беларусь,2021-06-01,1.84
Брестская,2021-06-01,1.88
Витебская,2021-06-01,1.85
Гомельская,2021-06-01,2.01
Гродненская,2021-06-01,1.57
г. Минск,2021-06-01,2.03
Минская,2021-06-01,1.78
Могилевская,2021-06-01,1.42
Беларусь,2021-07-01,1.47
Брестская,2021-07-01,1.37
Витебская,2021-07-01,1.53
Гомельская,2021-07-01,1.41
Гродненская,2021-07-01,1.48
г. Минск,2021-07-01,1.51
Минская,2021-07-01,1.51
Могилевская,2021-07-01,1.39
Беларусь,2021-08-01,1.25
Брестская,2021-08-01,1.18
Витебская,2021-08-01,1.25
Гомельская,2021-08-01,1.27
Гродненская,2021-08-01,1.14
г. Минск,2021-08-01,1.3
Минская,2021-08-01,1.32
Могилевская,2021-08-01,1.21
Беларусь,2021-09-01,1.22
Брестская,2021-09-01,1.17
Витебская,2021-09-01,1.24
Гомельская,2021-09-01,1.26
Гродненская,2021-09-01,1.12
г. Минск,2021-09-01,1.27
Минская,2021-09-01,1.24
Могилевская,2021-09-01,1.17
Беларусь,2021-10-01,1.31
Брестская,2021-10-01,1.22
Витебская,2021-10-01,1.38
Гомельская,2021-10-01,1.35
Гродненская,2021-10-01,1.17
г. Минск,2021-10-01,1.34
Минская,2021-10-01,1.36
Могилевская,2021-10-01,1.31
Беларусь,2021-11-01,1.3
Брестская,2021-11-01,1.19
Витебская,2021-11-01,1.4
Гомельская,2021-11-01,1.35
Гродненская,2021-11-01,1.16
г. Минск,2021-11-01,1.32
Минская,2021-11-01,1.34
Могилевская,2021-11-01,1.31
Беларусь,2021-12-01,1.37
Брестская,2021-12-01,1.23
Витебская,2021-12-01,1.44
Гомельская,2021-12-01,1.4
Гродненская,2021-12-01,1.2
г. Минск,2021-12-01,1.49
Минская,2021-12-01,1.34
Могилевская,2021-12-01,1.34
Беларусь,2022-01-01,1.46
Брестская,2022-01-01,1.26
Витебская,2022-01-01,1.38
Гомельская,2022-01-01,1.46
Гродненская,2022-01-01,1.27
г. Минск,2022-01-01,1.68
Минская,2022-01-01,1.42
Могилевская,2022-01-01,1.41
Беларусь,2022-02-01,1.38
Брестская,2022-02-01,1.26
Витебская,2022-02-01,1.36
Гомельская,2022-02-01,1.38
Гродненская,2022-02-01,1.29
г. Минск,2022-02-01,1.49
Минская,2022-02-01,1.37
Могилевская,2022-02-01,1.38
Беларусь,2022-03-01,1.38
Брестская,2022-03-01,1.32
Витебская,2022-03-01,1.37
Гомельская,2022-03-01,1.39
Гродненская,2022-03-01,1.33
г. Минск,2022-03-01,1.45
Минская,2022-03-01,1.38
Могилевская,2022-03-01,1.37
Беларусь,2022-05-01,1.51
Брестская,2022-05-01,1.34
Витебская,2022-05-01,1.49
Гомельская,2022-05-01,1.47
Гродненская,2022-05-01,1.37
г. Минск,2022-05-01,1.74
Минская,2022-05-01,1.42
Могилевская,2022-05-01,1.43
Беларусь,2022-06-01,1.93
Брестская,2022-06-01,1.94
Витебская,2022-06-01,2.13
Гомельская,2022-06-01,1.88
Гродненская,2022-06-01,2.11
г. Минск,2022-06-01,1.96
Минская,2022-06-01,1.72
Могилевская,2022-06-01,1.76
Беларусь,2022-07-01,1.96
Брестская,2022-07-01,1.87
Витебская,2022-07-01,1.99
Гомельская,2022-07-01,1.85
Гродненская,2022-07-01,1.85
г. Минск,2022-07-01,2.12
Минская,2022-07-01,2.07
Могилевская,2022-07-01,1.7
Беларусь,2022-08-01,1.21
